L,X,Y
0,13.5600004,15.3149996
2,3.721,15.2480001
0,4.9097862,15.4901791
2,3.518651,16.0325737
0,3.721,15.2480001
2,16.5881329,15.1714983
0,17.4214344,15.5421467
2,16.2697639,15.9297791
0,16.5881329,15.1714983
2,3.4498279,15.1688366
0,3.721,15.2480001
2,3.4498279,15.1688366
0,3.4272959,16.3845978
2,18.402319,15.1387091
0,18.90695,15.3761148
2,9.0590544,15.1255732
0,9.4910889,15.3207779
2,9.0590544,15.1255732
0,8.7840004,15.7720003
2,13.0880003,15.3570004
0,12.2139997,14.9090004
2,17.8946495,14.8998747
0,18.402319,15.1387091
3,15.6938972,15.3395834
0,15.8470001,14.842
0,16.5881329,15.1714983
3,17.4214344,15.5421467
0,17.7439995,14.8290005
0,17.8946495,14.8998747
3,11.8000002,14.8109999
0,11.4499998,15.6140003
0,11.165,16.7099991
2,14.5469418,14.8062286
0,15.6938972,15.3395834
2,14.4429998,15.0100002
0,14.5469418,14.8062286
2,13.9339371,14.7479525
0,14.4429998,15.0100002
5,7.868,16.0779991
0,7.9829998,15.2220001
0,7.9530001,15.1409998
0,8.1569996,14.7180004
0,9.0590544,15.1255732
3,16.5881329,15.1714983
0,16.6529999,15.0170002
0,16.8626099,14.5456047
2,13.5017796,14.5254908
0,13.9339371,14.7479525
2,13.5017796,14.5254908
0,13.0880003,15.3570004
3,7.2350001,14.4250002
0,6.796,15.2969999
0,6.6325169,15.821804
3,6.012208,14.371027
0,5.9580002,14.5930004
0,5.6999531,15.6256208
2,5.3569999,14.2150002
0,6.012208,14.371027
4,5.0250001,15.5159998
0,5.1300001,14.9499998
0,5.2030001,14.9569998
0,5.3569999,14.2150002
2,12.6890001,14.1149998
0,13.5017796,14.5254908
2,10.0377073,14.0517893
0,11.8000002,14.8109999
2,9.4910889,15.3207779
0,10.0377073,14.0517893
4,15.8640003,13.9809999
0,15.9709997,14.0570002
0,15.9469995,14.1029997
0,16.8626099,14.5456047
3,15.5389996,14.1099997
0,15.7370005,14.2139997
0,15.8640003,13.9809999
2,12.2077274,13.8600874
0,12.6890001,14.1149998
2,11.8000002,14.8109999
0,12.2077274,13.8600874
2,15.573,13.8400002
0,15.8640003,13.9809999
2,19.5478706,16.5372238
0,19.6246185,13.831727
2,18.90695,15.3761148
0,19.6246185,13.831727
2,6.1486492,13.812314
0,7.2350001,14.4250002
2,6.1486492,13.812314
0,6.012208,14.371027
2,16.8626099,14.5456047
0,17.1940002,13.8030005
2,19.6246185,13.831727
0,19.6272583,13.7386885
2,11.7840004,13.6350002
0,12.2077274,13.8600874
2,15.1485777,13.6267643
0,15.573,13.8400002
2,14.5469418,14.8062286
0,15.1485777,13.6267643
2,8.8964672,13.560133
0,10.0377073,14.0517893
2,14.0430002,13.5080004
0,13.5017796,14.5254908
3,13.9339371,14.7479525
0,14.3240004,14.0170002
0,14.5509996,13.5010004
2,19.1459999,13.4759998
0,19.6272583,13.7386885
3,18.402319,15.1387091
0,19.0020008,13.7880001
0,19.1459999,13.4759998
2,15.1485777,13.6267643
0,15.2770004,13.375
2,18.6650467,13.1906729
0,19.1459999,13.4759998
3,17.8946495,14.8998747
0,18.3610001,13.8669996
0,18.6650467,13.1906729
2,13.3789997,13.1639996
0,14.0430002,13.5080004
5,12.6890001,14.1149998
0,12.7819996,13.9359999
0,12.9420004,13.5970001
0,13.1029997,13.6750002
0,13.3789997,13.1639996
2,7.9123201,13.1361542
0,8.8964672,13.560133
2,7.9123201,13.1361542
0,7.2350001,14.4250002
3,15.573,13.8400002
0,15.8190002,13.3219995
0,15.4565592,13.1309834
2,15.2770004,13.375
0,15.4565592,13.1309834
2,14.8091011,13.106781
0,15.2770004,13.375
3,6.4696321,13.0269709
0,6.2319999,13.4709997
0,6.1486492,13.812314
2,13.3789997,13.1639996
0,13.085,13.0030003
2,14.3639154,12.8515816
0,14.8091011,13.106781
2,14.3639154,12.8515816
0,14.0430002,13.5080004
2,8.8964672,13.560133
0,8.9386053,12.83183
2,14.4169998,12.743
0,14.3639154,12.8515816
2,7.2081971,12.7395391
0,7.9123201,13.1361542
2,18.6650467,13.1906729
0,17.7065144,12.6450005
3,17.1940002,13.8030005
0,17.5769997,12.9390001
0,17.7065144,12.6450005
2,5.1874361,12.6099167
0,6.4696321,13.0269709
2,6.7588978,12.4864607
0,7.2081971,12.7395391
2,6.7588978,12.4864607
0,6.4696321,13.0269709
2,13.9110003,12.4790001
0,14.4169998,12.743
2,7.4172621,12.4762888
0,7.8506641,12.7446699
2,7.4172621,12.4762888
0,7.2081971,12.7395391
2,9.0972004,12.3850803
0,9.5534487,12.7267799
3,8.9386053,12.83183
0,8.9244738,12.6359501
0,9.0972004,12.3850803
2,4.25,12.3050003
0,5.1874361,12.6099167
3,5.3569999,14.2150002
0,3.7690001,13.7049999
0,4.25,12.3050003
2,9.5534487,12.7267799
0,9.8582888,12.2909603
2,14.4169998,12.743
0,14.7060003,12.25
2,13.3966837,12.2042065
0,13.9110003,12.4790001
2,15.4565592,13.1309834
0,15.8772621,12.1351805
5,16.9419994,12.118
0,16.4899998,13.0159998
0,16.4360008,13.0240002
0,16.2709999,13.4049997
0,17.1940002,13.8030005
2,8.9386053,12.83183
0,7.75176,12.0550976
2,7.75176,12.0550976
0,7.4172621,12.4762888
2,17.7065144,12.6450005
0,17.9696884,12.0475893
2,13.007,11.9960003
0,13.3966837,12.2042065
2,12.2077274,13.8600874
0,13.007,11.9960003
2,9.8582888,12.2909603
0,10.0545797,11.9907026
2,14.191,11.9700003
0,14.7060003,12.25
2,13.9110003,12.4790001
0,14.191,11.9700003
6,14.8091011,13.106781
0,15.2749996,12.1000004
0,15.3269997,12.0159998
0,15.4750004,12.0500002
0,15.5220003,11.9530001
0,15.8772621,12.1351805
2,9.3767023,11.9452953
0,9.8582888,12.2909603
2,9.0972004,12.3850803
0,9.3767023,11.9452953
3,9.5534487,12.7267799
0,10.3647604,12.9749203
0,10.8373804,11.9244013
2,9.3767023,11.9452953
0,9.4359465,11.8520765
2,13.007,11.9960003
0,12.6529999,11.8380003
2,15.8772621,12.1351805
0,16.0639992,11.717
2,19.6272583,13.7386885
0,19.6851063,11.6994572
2,10.0545797,11.9907026
0,9.5583115,11.6595411
2,9.4359465,11.8520765
0,9.5583115,11.6595411
2,8.0833921,11.63976
0,9.0972004,12.3850803
2,8.0833921,11.63976
0,7.75176,12.0550976
2,17.9696884,12.0475893
0,18.1510162,11.635972
2,10.3213997,11.5825596
0,10.8373804,11.9244013
2,10.0545797,11.9907026
0,10.3213997,11.5825596
2,19.4159222,11.538805
0,19.6851063,11.6994572
3,18.6650467,13.1906729
0,18.9669991,12.5190001
0,19.4159222,11.538805
2,14.191,11.9700003
0,14.4169998,11.5360003
2,12.6529999,11.8380003
0,12.0319996,11.5349998
3,12.0319996,11.5349998
0,11.5889997,12.4829998
0,11.8050003,12.6129999
4,9.4359465,11.8520765
0,9.2075806,11.6911201
0,9.0829287,11.6607199
0,8.7513046,11.3954697
2,5.8659868,11.3281698
0,6.7588978,12.4864607
3,5.1874361,12.6099167
0,5.4560661,11.6361103
0,5.8659868,11.3281698
4,15.2513304,11.3118668
0,15.6370001,11.5179996
0,15.8070002,11.6070004
0,16.0639992,11.717
2,14.7060003,12.25
0,15.2513304,11.3118668
2,7.3959999,11.2959995
0,6.7588978,12.4864607
2,13.8603544,11.2842188
0,13.3966837,12.2042065
2,14.4169998,11.5360003
0,13.8927059,11.2200298
2,13.8927059,11.2200298
0,13.8603544,11.2842188
2,9.8386745,11.2184
0,10.3213997,11.5825596
2,9.5583115,11.6595411
0,9.8386745,11.2184
2,7.4589009,11.1870003
0,8.0833921,11.63976
2,7.3959999,11.2959995
0,7.4589009,11.1870003
2,15.2513304,11.3118668
0,15.3559999,11.1470003
6,16.3017616,11.123909
0,16.8250008,11.4949999
0,17.1439991,11.71
0,17.3999996,11.8079996
0,17.4720001,11.8070002
0,17.9696884,12.0475893
3,16.0639992,11.717
0,16.2770004,11.1890001
0,16.3017616,11.123909
2,12.0319996,11.5349998
0,11.2035303,11.1105404
2,10.8373804,11.9244013
0,11.2035303,11.1105404
2,15.4517279,10.9671221
0,15.8360004,11.243
2,15.3559999,11.1470003
0,15.4517279,10.9671221
3,18.459528,10.9356441
0,18.8080006,11.1540003
0,19.4159222,11.538805
2,18.1510162,11.635972
0,18.459528,10.9356441
2,19.6851063,11.6994572
0,19.707737,10.9016447
2,19.4159222,11.538805
0,19.707737,10.9016447
2,13.1271353,10.8527298
0,13.8603544,11.2842188
4,12.6529999,11.8380003
0,12.7919998,11.5120001
0,13.0740004,10.9589996
0,13.1271353,10.8527298
2,15.3559999,11.1470003
0,14.8257446,10.850667
3,14.4169998,11.5360003
0,14.6879997,11.0889997
0,14.8257446,10.850667
2,9.3511257,10.8246183
0,9.8386745,11.2184
2,9.3511257,10.8246183
0,9.0457125,11.2711496
2,19.707737,10.9016447
0,19.7100048,10.8217096
2,10.3213997,11.5825596
0,10.77036,10.7723598
2,5.3715849,10.6868267
0,5.8659868,11.3281698
3,4.9313369,11.5090504
0,5.0630178,10.8767004
0,5.3715849,10.6868267
2,15.6397247,10.6454229
0,16.3017616,11.123909
2,15.4517279,10.9671221
0,15.6397247,10.6454229
2,15.6397247,10.6454229
0,15.5965776,10.6166334
2,10.77036,10.7723598
0,10.8647203,10.5992098
2,12.6410398,10.5644312
0,13.1271353,10.8527298
2,8.9821606,10.5338202
0,9.3511257,10.8246183
2,8.0833921,11.63976
0,8.9821606,10.5338202
3,14.8257446,10.850667
0,14.243,10.5249996
0,13.8927059,11.2200298
2,10.3505497,10.4686728
0,10.77036,10.7723598
2,9.8386745,11.2184
0,10.3505497,10.4686728
2,12.4594259,10.4567184
0,12.6410398,10.5644312
2,12.2512302,10.8542404
0,12.4594259,10.4567184
2,15.1669998,10.3299999
0,15.5965776,10.6166334
3,14.8257446,10.850667
0,14.9709997,10.5930004
0,15.1669998,10.3299999
2,5.0901632,10.321764
0,5.3715849,10.6868267
7,16.6480007,10.2989998
0,16.9279995,10.552
0,17.1100006,10.6969995
0,17.2689991,10.8730001
0,17.4500008,11.1090002
0,17.8279991,11.3900003
0,18.1510162,11.635972
3,16.3017616,11.123909
0,16.4440002,10.75
0,16.6480007,10.2989998
2,15.1669998,10.3299999
0,15.0657091,10.2674713
2,12.1054001,10.2467499
0,12.4594259,10.4567184
2,18.7706013,10.2303782
0,19.7100048,10.8217096
3,18.459528,10.9356441
0,18.5510006,10.7279997
0,18.7706013,10.2303782
3,5.0901632,10.321764
0,5.0691819,10.41014
0,4.3077641,10.2040005
3,4.3077641,10.2040005
0,3.743839,12.0125303
0,4.25,12.3050003
2,11.8282614,10.0615549
0,12.1054001,10.2467499
3,11.2035303,11.1105404
0,11.5598402,10.4594402
0,11.8282614,10.0615549
2,15.0657091,10.2674713
0,15.2250004,10.059
2,16.6480007,10.2989998
0,16.9459991,10.0389996
2,7.4589009,11.1870003
0,8.1350374,10.0153532
2,19.7100048,10.8217096
0,19.7342319,9.967659
4,17.0279999,9.9549999
0,17.2290001,10.125
0,17.6429996,10.4239998
0,18.459528,10.9356441
2,16.9459991,10.0389996
0,17.0279999,9.9549999
2,15.0657091,10.2674713
0,14.5319996,9.9379997
2,4.3077641,10.2040005
0,3.547796,9.882741
2,3.547796,9.882741
0,3.4498279,15.1688366
2,16.0209999,9.8280001
0,16.6480007,10.2989998
2,15.5965776,10.6166334
0,16.0209999,9.8280001
2,8.9821606,10.5338202
0,9.5630398,9.8128672
2,11.8282614,10.0615549
0,11.48915,9.810339
2,15.2250004,10.059
0,14.8459997,9.7840004
2,17.0279999,9.9549999
0,17.2169991,9.7259998
2,15.7853088,9.6567307
0,16.0209999,9.8280001
2,15.7853088,9.6567307
0,15.5459995,10.0270004
2,19.0654373,9.562274
0,19.7342319,9.967659
2,18.7706013,10.2303782
0,19.0654373,9.562274
3,15.6025696,9.5083771
0,15.7209997,9.6099997
0,15.7853088,9.6567307
2,15.2250004,10.059
0,15.6025696,9.5083771
2,6.0532022,9.4900789
0,7.3959999,11.2959995
4,6.0532022,9.4900789
0,5.2596159,10.0978498
0,5.1050048,10.2592497
0,5.0901632,10.321764
2,11.48915,9.810339
0,11.0319405,9.4706602
2,10.3505497,10.4686728
0,11.0319405,9.4706602
2,16.3169994,9.4689999
0,16.9459991,10.0389996
2,16.0209999,9.8280001
0,16.3169994,9.4689999
2,15.3622665,9.3021784
0,15.6025696,9.5083771
2,8.1350374,10.0153532
0,6.772264,9.1731348
2,8.6268063,9.163188
0,9.5630398,9.8128672
2,8.1350374,10.0153532
0,8.6268063,9.163188
2,11.0319405,9.4706602
0,10.6160746,9.1589956
2,10.6160746,9.1589956
0,9.6626434,10.4113703
2,19.0654373,9.562274
0,19.3062916,9.090313
2,17.2169991,9.7259998
0,16.552,9.0880003
2,16.4120007,9.2849998
0,16.552,9.0880003
2,8.6268063,9.163188
0,8.7021122,9.0623713
2,6.544517,9.0438137
0,6.0532022,9.4900789
2,12.0264416,9.0231791
0,11.48915,9.810339
3,14.9926939,8.9881172
0,15.2629995,9.217
0,15.3622665,9.3021784
4,14.9926939,8.9881172
0,14.6780005,9.3800001
0,14.4619999,9.6459999
0,14.0200005,10.4259996
2,10.6160746,9.1589956
0,10.287982,8.9131107
2,9.5630398,9.8128672
0,10.287982,8.9131107
2,16.3169994,9.4689999
0,15.7329998,8.8850002
2,15.7329998,8.8850002
0,15.3622665,9.3021784
3,14.7312241,8.7499294
0,14.8780003,8.8909998
0,14.9926939,8.9881172
2,19.0654373,9.562274
0,17.9060001,8.7220001
2,17.2169991,9.7259998
0,17.9060001,8.7220001
2,14.6852283,8.7057219
0,14.7312241,8.7499294
5,13.1271353,10.8527298
0,13.1599998,10.7869997
0,13.7889996,9.8599997
0,14.2889996,9.1920004
0,14.6852283,8.7057219
2,16.552,9.0880003
0,16.758667,8.6988859
2,10.287982,8.9131107
0,9.8828268,8.5975475
2,16.758667,8.6988859
0,16.8862286,8.4587135
2,11.1494913,8.3766632
0,12.0264416,9.0231791
2,11.1494913,8.3766632
0,10.6160746,9.1589956
6,15.7329998,8.8850002
0,15.6820002,8.79
0,15.6420002,8.7530003
0,15.493,8.6420002
0,15.3889999,8.5430002
0,15.1099997,8.3179998
2,14.7312241,8.7499294
0,15.1099997,8.3179998
5,18.1122017,8.2802267
0,18.4090004,8.4799995
0,18.6949997,8.6920004
0,18.8999996,8.842
0,19.3062916,9.090313
2,17.9060001,8.7220001
0,18.1122017,8.2802267
3,9.8828268,8.5975475
0,9.725832,8.4752684
0,9.1636944,8.2275248
3,8.7021122,9.0623713
0,9.0671844,8.4000759
0,9.1636944,8.2275248
2,16.8862286,8.4587135
0,16.5030003,8.2040005
2,15.1099997,8.3179998
0,15.2008905,8.2018261
3,14.137084,8.1869307
0,14.415,8.4460001
0,14.6852283,8.7057219
4,12.6410398,10.5644312
0,13.3952198,9.188612
0,13.78479,8.644908
0,14.137084,8.1869307
2,12.6530275,8.105197
0,12.0264416,9.0231791
2,5.0223222,8.1036558
0,6.0532022,9.4900789
2,5.0223222,8.1036558
0,4.3077641,10.2040005
2,17.0809994,8.092
0,17.9060001,8.7220001
2,16.8862286,8.4587135
0,17.0809994,8.092
2,9.1636944,8.2275248
0,9.2483673,8.087018
2,3.5814071,8.0692205
0,3.547796,9.882741
2,7.043314,7.9979448
0,8.7021122,9.0623713
2,9.0185366,7.9805012
0,9.2483673,8.087018
2,9.2483673,8.087018
0,9.3637047,7.8798819
3,18.327755,7.818418
0,19.5550003,8.6099997
0,19.3062916,9.090313
2,18.1122017,8.2802267
0,18.327755,7.818418
3,7.043314,7.9979448
0,6.8860431,8.2609034
0,6.1852441,7.7992458
2,15.5270004,7.7849998
0,16.758667,8.6988859
2,15.2008905,8.2018261
0,15.5270004,7.7849998
2,13.6739378,7.7551918
0,14.137084,8.1869307
3,12.1054001,10.2467499
0,12.7395,9.0152683
0,13.6739378,7.7551918
2,15.5270004,7.7849998
0,15.5609999,7.744
2,19.7342319,9.967659
0,19.7973919,7.7411528
3,15.3190002,7.527
0,15.2740002,7.579
0,15.5609999,7.744
2,8.2065783,7.5214062
0,9.0185366,7.9805012
4,14.165,7.5149999
0,14.4250002,7.8000002
0,14.5600004,7.6550002
0,15.2008905,8.2018261
2,14.9619999,7.507
0,15.2639999,7.7610002
3,15.0950003,7.9120002
0,14.835,7.6529999
0,14.9619999,7.507
2,18.327755,7.818418
0,18.5060005,7.4720001
2,8.5915565,7.4712501
0,9.3637047,7.8798819
2,11.7894554,7.4380651
0,12.6530275,8.105197
2,11.7894554,7.4380651
0,11.1494913,8.3766632
2,19.2955208,7.436564
0,19.7973919,7.7411528
2,9.8828268,8.5975475
0,10.6393805,7.406045
2,15.1020002,7.3280001
0,15.3190002,7.527
2,14.9619999,7.507
0,15.1020002,7.3280001
3,13.1941566,7.3124142
0,13.4860001,7.5799999
0,13.6739378,7.7551918
2,13.1941566,7.3124142
0,12.6530275,8.105197
2,15.3190002,7.527
0,15.4960003,7.3119998
2,8.2383413,7.2254648
0,8.5915565,7.4712501
2,12.0388098,7.0882711
0,11.7894554,7.4380651
2,17.5764389,7.0717092
0,18.5060005,7.4720001
3,17.0809994,8.092
0,17.3710003,7.4679999
0,17.5764389,7.0717092
2,4.2529998,7.0689998
0,5.0223222,8.1036558
2,4.2529998,7.0689998
0,3.5814071,8.0692205
2,18.680275,7.0631671
0,19.2955208,7.436564
2,18.5060005,7.4720001
0,18.680275,7.0631671
6,6.1852441,7.7992458
0,5.66609,7.4148331
0,5.5974889,7.33921
0,5.6095219,7.2458701
0,5.5875592,7.2002902
0,5.360157,7.0399351
3,15.5609999,7.744
0,15.6999998,7.3940001
0,15.8640003,7.007
2,10.6393805,7.406045
0,9.8741417,6.9631839
2,9.3637047,7.8798819
0,9.8741417,6.9631839
2,6.7296228,6.96101
0,6.1852441,7.7992458
3,15.8640003,7.007
0,15.4460001,6.927
0,15.3170004,7.1020002
2,13.5439301,6.8594022
0,13.9350004,7.1890001
2,13.5439301,6.8594022
0,13.1941566,7.3124142
3,11.5326204,6.9868431
0,11.6609097,6.809978
0,12.0388098,7.0882711
3,15.9359312,6.7816591
0,16.3010006,7.006
0,16.8220005,7.3249998
2,15.8640003,7.007
0,15.9359312,6.7816591
2,4.2529998,7.0689998
0,3.608146,6.6264238
2,3.608146,6.6264238
0,3.5814071,8.0692205
3,15.9359312,6.7816591
0,15.9770002,6.6529999
0,16.0006237,6.598434
3,12.3836756,6.5711508
0,12.7159996,6.8740001
0,13.1941566,7.3124142
2,12.3836756,6.5711508
0,12.0388098,7.0882711
2,9.8741417,6.9631839
0,9.1696234,6.4773788
2,9.1696234,6.4773788
0,8.5915565,7.4712501
2,16.0006237,6.598434
0,14.9809999,6.473
6,14.0550003,6.835
0,14.585,7.2600002
0,14.7539997,7.066
0,14.8299999,7.0300002
0,14.9280005,6.9120002
0,14.9809999,6.473
2,19.7973919,7.7411528
0,19.8334618,6.4696159
2,19.2955208,7.436564
0,19.8334618,6.4696159
2,5.8547659,6.449976
0,6.7296228,6.96101
2,9.8741417,6.9631839
0,10.1989317,6.3798909
2,9.1696234,6.4773788
0,8.9803562,6.369051
2,13.9549999,6.3270001
0,14.9809999,6.473
2,13.9549999,6.3270001
0,13.5439301,6.8594022
2,8.9803562,6.369051
0,8.9052429,6.316586
2,9.9764957,6.2520528
0,10.1989317,6.3798909
2,19.8334618,6.4696159
0,19.0699177,6.0947471
4,18.680275,7.0631671
0,18.9239998,6.5409999
0,19.0540009,6.1719999
0,19.0699177,6.0947471
3,16.0006237,6.598434
0,16.1189995,6.3249998
0,16.2212505,6.0893149
2,8.9803562,6.369051
0,9.1711073,6.0717611
2,9.6064482,6.038558
0,9.9764957,6.2520528
3,19.8334618,6.4696159
0,19.8362751,6.3704329
0,19.8458424,6.0331941
2,15.5710001,5.9920001
0,16.2212505,6.0893149
2,11.6892138,5.9327779
0,12.3836756,6.5711508
3,10.6393805,7.406045
0,11.1638498,6.5722342
0,11.6892138,5.9327779
2,11.6892138,5.9327779
0,11.5450001,5.9510002
2,4.9678168,5.9228268
0,5.8547659,6.449976
2,4.9678168,5.9228268
0,4.2529998,7.0689998
3,19.0699177,6.0947471
0,19.0949993,5.973
0,19.0990009,5.8390002
2,12.6246834,5.8145752
0,12.3836756,6.5711508
2,12.6246834,5.8145752
0,11.6892138,5.9327779
3,12.9380846,5.774405
0,12.9530001,6.1989999
0,13.1350002,6.3740001
3,12.9380846,5.774405
0,12.835,5.7880001
0,12.6246834,5.8145752
2,19.2619991,5.6999998
0,19.8458424,6.0331941
2,19.0990009,5.8390002
0,19.2619991,5.6999998
2,19.0990009,5.8390002
0,18.3246307,5.6464381
3,17.5764389,7.0717092
0,17.8640003,6.5170002
0,18.3246307,5.6464381
2,11.5450001,5.9510002
0,10.609724,5.6415162
2,10.1989317,6.3798909
0,10.609724,5.6415162
2,18.3246307,5.6464381
0,18.1140003,5.5970001
3,14.4879999,5.5700002
0,14.2379999,5.9840002
0,13.9549999,6.3270001
2,14.4879999,5.5700002
0,12.9380846,5.774405
2,5.2339149,5.511199
0,4.9678168,5.9228268
2,18.1140003,5.5970001
0,17.6034451,5.4671011
2,17.6034451,5.4671011
0,16.9799995,6.7030001
2,17.6034451,5.4671011
0,17.4820004,5.4390001
3,14.9006586,5.418766
0,14.5889997,5.5349998
0,14.4879999,5.5700002
